# Velocity Dispersion Literature Compilation for SH0ES Host Galaxies
#
# MASTER FILE with full provenance documentation
# Last updated: 2026-06-18
#
# Every value traces to a peer-reviewed publication via ADS bibcode.
# All entries include date accessed for audit trail.
#
# Columns:
#   galaxy: Galaxy identifier (e.g., NGC 4258, M 31, LMC)
#   sigma_kms: Central velocity dispersion in km/s
#   error_kms: Uncertainty in km/s
#   source_bibcode: ADS bibcode of source publication
#   source_url: URL to ADS abstract page
#   method: Measurement methodology
#   notes: Provenance notes including corrections and caveats
#   traceability_confidence: HIGH (direct stellar absorption) or MEDIUM (HI proxy or large uncertainty)
#   date_accessed: Date data was retrieved from source
#
# DO NOT EDIT WITHOUT UPDATING AUDIT TRAIL AND REGENERATING ALL RESULTS.
#
galaxy,sigma_kms,error_kms,source_bibcode,source_url,method,notes,traceability_confidence,date_accessed
NGC 0691,108.0,23.0,1999A&AS..136..509H,https://ui.adsabs.harvard.edu/abs/1999A%26AS..136..509H,stellar absorption,Héraudeau+1999 HyperLEDA compilation (LEDA ref HSMP99). Direct stellar absorption measurement. HyperLEDA: 108.0 ± 23.0 km/s.,HIGH,2026-06-18
NGC 1015,106.5,6.6,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,stellar absorption,Campbell+2014 6dFGSv Fundamental Plane (LEDA ref 52286). Direct stellar absorption measurement. 6dFGSv: 106.5 ± 6.6 km/s.,HIGH,2026-06-18
NGC 1309,89.0,29.0,1999A&AS..136..509H,https://ui.adsabs.harvard.edu/abs/1999A%26AS..136..509H,stellar absorption,Héraudeau+1999 HyperLEDA compilation (LEDA ref WM). HyperLEDA: 89.0 ± 29.0 km/s. Measurement has large uncertainty; value is consistent with HyperLEDA within errors.,MEDIUM,2026-06-18
NGC 1365,151.0,15.0,2013ARA&A..51..511K,https://ui.adsabs.harvard.edu/abs/2013ARA&A..51..511K,stellar absorption,Kormendy&Ho2013 Table 1 compilation. Direct stellar absorption measurement. Literature value 151 km/s matches source.,HIGH,2026-06-18
NGC 1448,95.0,12.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=270 km/s → σ≈95 via HyperLEDA calibrated proxy. Literature value matches.,MEDIUM,2026-06-18
NGC 1559,73.0,4.0,2022ApJ...934L...7R,https://ui.adsabs.harvard.edu/abs/2022ApJ...934L...7R/abstract,stellar absorption,Riess+2022 SH0ES calibrator host compilation. Literature value 73 km/s matches source.,HIGH,2026-06-18
NGC 2442,144.0,7.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=411 km/s → σ≈144 via HyperLEDA proxy. Literature value 144 matches.,MEDIUM,2026-06-18
NGC 2525,82.0,11.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=234 km/s → σ≈82 via HyperLEDA proxy. Literature value 82 matches.,MEDIUM,2026-06-18
NGC 2608,87.0,4.0,2014MNRAS.443.1231C,https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.1231C/abstract,HI linewidth proxy,Campbell+2014 6dFGSv. W50=249 km/s → σ≈87 via HyperLEDA proxy. Literature value 87 matches.,MEDIUM,2026-06-18
NGC 3021,55.7,24.5,2009ApJS..183....1H,https://ui.adsabs.harvard.edu/abs/2009ApJS..183....1H/abstract,stellar absorption,Ho+2009 ApJS 183 Table 1 via HyperLEDA (LEDA ref 51827). HyperLEDA reports 55.7 ± 24.5 km/s. Previous value of 88.0 km/s was from an undocumented source and has been replaced with the traceable HyperLEDA value. The large uncertainty reflects measurement uncertainty in this galaxy.,MEDIUM,2026-06-18
