galaxy,sigma_kms,error_kms,source,method,notes,pgc,direct_sigma_spread_kms
LMC,27.411764705882355,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""LMC"", ""vrot"": 46.6}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 27.411764705882355}}",,
M 101,43.7,14.0,HyperLEDA (ledacat.cgi),stellar absorption,"{""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""M 101""}, ""error_kms"": 14.0, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 43.7}}",,
M 31,169.6999969482422,,Ho 2007 (J/ApJ/668/94),stellar absorption,"{""ho2007"": {""details"": {""T"": 3.0, ""Vm"": 244.39999389648438, ""W50"": 510.5, ""bar"": ""N"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 224"", ""sep_arcsec"": 1.922912476050842, ""sig0"": 169.6999969482422}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 169.6999969482422}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""M 31""}, ""error_kms"": 3.6, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 153.9}}",,
NGC 0691,107.5,,Ho 2007 (J/ApJ/668/94),stellar absorption,"{""ho2007"": {""details"": {""T"": 4.0, ""Vm"": 208.39999389648438, ""W50"": 327.29998779296875, ""bar"": ""N"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 691"", ""sep_arcsec"": 0.32401953151842666, ""sig0"": 107.5}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 107.5}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 0691""}, ""error_kms"": 21.8, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 102.5}}",,
NGC 1015,106.5,6.6,HyperLEDA (ledacat.cgi),stellar absorption,"{""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 1015""}, ""error_kms"": 6.6, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 106.5}}",,
NGC 105,138.1764705882353,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 105"", ""vrot"": 234.9}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 138.1764705882353}}",,
NGC 1309,82.0,26.7,HyperLEDA (ledacat.cgi),stellar absorption,"{""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 1309""}, ""error_kms"": 26.7, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 82.0}}",,
NGC 1337,64.17647058823529,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 1337"", ""vrot"": 109.1}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 64.17647058823529}}",,
NGC 1365,151.39999389648438,,Ho 2007 (J/ApJ/668/94),stellar absorption,"{""ho2007"": {""details"": {""T"": 3.0999999046325684, ""Vm"": 192.60000610351562, ""W50"": 369.79998779296875, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 1365"", ""sep_arcsec"": 2.307045843116239, ""sig0"": 151.39999389648438}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 151.39999389648438}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 1365""}, ""error_kms"": 18.7, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 141.1}}",,
NGC 1448,108.88235294117646,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 1448"", ""vrot"": 185.1}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 108.88235294117646}}",,
NGC 1559,72.62999725341797,,ApJ 929:84 (VizieR J/ApJ/929/84),stellar absorption,"{""apj929_84"": {""details"": {""Name"": ""NGC1559"", ""Sigma"": 72.62999725341797, ""catalog"": ""J/ApJ/929/84/sample"", ""sep_arcsec"": 0.37006005580430773}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""ApJ 929:84 (VizieR J/ApJ/929/84)"", ""value_kms"": 72.62999725341797}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 1559"", ""vrot"": 134.3}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 79.00000000000001}}",,
NGC 2442,133.35294117647058,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 2442"", ""vrot"": 226.7}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 133.35294117647058}}",,
NGC 2525,74.58823529411765,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 2525"", ""vrot"": 126.8}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 74.58823529411765}}",,
NGC 2608,61.35294117647059,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 2608"", ""vrot"": 104.3}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 61.35294117647059}}",,
NGC 3021,57.29999923706055,,Ho 2007 (J/ApJ/668/94),stellar absorption,"{""ho2007"": {""details"": {""T"": 4.0, ""Vm"": 126.0999984741211, ""W50"": 243.1999969482422, ""bar"": ""N"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 3021"", ""sep_arcsec"": 0.6241073739471662, ""sig0"": 57.29999923706055}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 57.29999923706055}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 3021""}, ""error_kms"": 24.5, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 55.7}}",,
NGC 3147,247.0,6.0,BASS DR2 (Koss+2022; J/ApJS/261/6),stellar absorption,"{""bassdr2"": {""details"": {""SimbadName"": ""NGC3147"", ""catalog"": ""J/ApJS/261/6/best"", ""e_sigma"": 6.0, ""e_sigmaCaT"": 6.0, ""e_sigmaS"": 6.0, ""sep_arcsec"": 0.014640200306944533, ""sigma"": 247.0, ""sigmaCaT"": 232.0, ""sigmaS"": 247.0}, ""error_kms"": 6.0, ""method"": ""stellar absorption"", ""source"": ""BASS DR2 (Koss+2022; J/ApJS/261/6)"", ""value_kms"": 247.0}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 3147""}, ""error_kms"": 7.4, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 223.9}}",,
NGC 3254,117.80000305175781,,Ho 2007 (J/ApJ/668/94),stellar absorption,"{""ho2007"": {""details"": {""T"": 4.0, ""Vm"": 185.5, ""W50"": 401.79998779296875, ""bar"": ""N"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 3254"", ""sep_arcsec"": 0.026417463671413167, ""sig0"": 117.80000305175781}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 117.80000305175781}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 3254""}, ""error_kms"": 5.8, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 129.9}}",,
NGC 3370,48.0,,Ho 2007 (J/ApJ/668/94),stellar absorption,"{""ho2007"": {""details"": {""T"": 5.0, ""Vm"": 134.1999969482422, ""W50"": 266.1000061035156, ""bar"": ""N"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 3370"", ""sep_arcsec"": 0.49168389497191406, ""sig0"": 48.0}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 48.0}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 3370""}, ""error_kms"": 9.9, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 92.4}}",,
NGC 3447,27.35294117647059,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 3447"", ""vrot"": 46.5}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 27.35294117647059}}",,
NGC 3583,142.89999389648438,,Ho 2007 (J/ApJ/668/94),stellar absorption,"{""ho2007"": {""details"": {""T"": 3.0999999046325684, ""Vm"": 215.5, ""W50"": 359.70001220703125, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 3583"", ""sep_arcsec"": 2.0447156917999108, ""sig0"": 142.89999389648438}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 142.89999389648438}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 3583""}, ""error_kms"": 7.0, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 131.4}}",,
NGC 3972,28.24645,9.931138,SDSS (astroquery.sdss),stellar absorption,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 3972"", ""vrot"": 110.0}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 64.70588235294117}, ""sdss"": {""details"": {""query_radius_arcsec"": 5.0, ""separation_arcsec"": 0.0014361072488117102, ""z"": 11.81684}, ""error_kms"": 9.931138, ""method"": ""stellar absorption"", ""source"": ""SDSS (astroquery.sdss)"", ""value_kms"": 28.24645}}",,
NGC 3982,66.9000015258789,,Ho 2007 (J/ApJ/668/94),stellar absorption,"{""ho2007"": {""details"": {""T"": 3.200000047683716, ""Vm"": 161.3000030517578, ""W50"": 196.8000030517578, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 3982"", ""sep_arcsec"": 2.2254601537631737, ""sig0"": 66.9000015258789}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 66.9000015258789}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 3982""}, ""error_kms"": 3.9, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 71.8}}",,
NGC 4038,99.47058823529412,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 4038"", ""vrot"": 169.1}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 99.47058823529412}}",,
NGC 4258,123.0,2.0,BASS DR2 (Koss+2022; J/ApJS/261/6),stellar absorption,"{""bassdr2"": {""details"": {""SimbadName"": ""NGC4258"", ""catalog"": ""J/ApJS/261/6/best"", ""e_sigma"": 2.0, ""e_sigmaCaT"": 2.0, ""e_sigmaS"": 9.0, ""sep_arcsec"": 0.008379520123374727, ""sigma"": 123.0, ""sigmaCaT"": 123.0, ""sigmaS"": 102.0}, ""error_kms"": 2.0, ""method"": ""stellar absorption"", ""source"": ""BASS DR2 (Koss+2022; J/ApJS/261/6)"", ""value_kms"": 123.0}, ""ho2007"": {""details"": {""T"": 4.0, ""Vm"": 201.6999969482422, ""W50"": 417.79998779296875, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 4258"", ""sep_arcsec"": 1.2148104616886242, ""sig0"": 134.39999389648438}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 134.39999389648438}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 4258""}, ""error_kms"": 7.4, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 132.8}}",,
NGC 4424,56.6,9.2,HyperLEDA (ledacat.cgi),stellar absorption,"{""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 4424""}, ""error_kms"": 9.2, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 56.6}}",,
NGC 4536,180.8000030517578,,Ho 2007 (J/ApJ/668/94),stellar absorption,"{""ho2007"": {""details"": {""T"": 4.199999809265137, ""Vm"": 153.60000610351562, ""W50"": 322.79998779296875, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 4536"", ""sep_arcsec"": 1.4682386224106245, ""sig0"": 180.8000030517578}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 180.8000030517578}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 4536""}, ""error_kms"": 9.6, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 111.4}}",,
