beta,re_scale,n,r,p,slope,delta_h0,median_sigma,sigma_ref,kappa_cep_opt,unified_h0,post_slope,post_r
0.0,0.7,29,0.48174588450114225,0.008142046000991755,0.08272920583483998,7.860052734142712,98.0,87.16507328052906,1196301.26953125,68.53418031438066,3.048403625888616e-08,1.9541555429651135e-07
0.0,0.75,29,0.48174588450114225,0.008142046000991755,0.08272920583483998,7.860052734142712,98.0,87.16507328052906,1196301.26953125,68.53418031438066,3.048403625888616e-08,1.9541555429651135e-07
0.0,0.8,29,0.48174588450114225,0.008142046000991755,0.08272920583483998,7.860052734142712,98.0,87.16507328052906,1196301.26953125,68.53418031438066,3.048403625888616e-08,1.9541555429651135e-07
0.0,0.85,29,0.48174588450114225,0.008142046000991755,0.08272920583483998,7.860052734142712,98.0,87.16507328052906,1196301.26953125,68.53418031438066,3.048403625888616e-08,1.9541555429651135e-07
0.0,0.9,29,0.48174588450114225,0.008142046000991755,0.08272920583483998,7.860052734142712,98.0,87.16507328052906,1196301.26953125,68.53418031438066,3.048403625888616e-08,1.9541555429651135e-07
0.0,0.95,29,0.48174588450114225,0.008142046000991755,0.08272920583483998,7.860052734142712,98.0,87.16507328052906,1196301.26953125,68.53418031438066,3.048403625888616e-08,1.9541555429651135e-07
0.0,1.0,29,0.48174588450114225,0.008142046000991755,0.08272920583483998,7.860052734142712,98.0,87.16507328052906,1196301.26953125,68.53418031438066,3.048403625888616e-08,1.9541555429651135e-07
0.0,1.05,29,0.48174588450114225,0.008142046000991755,0.08272920583483998,7.860052734142712,98.0,87.16507328052906,1196301.26953125,68.53418031438066,3.048403625888616e-08,1.9541555429651135e-07
0.0,1.1,29,0.48174588450114225,0.008142046000991755,0.08272920583483998,7.860052734142712,98.0,87.16507328052906,1196301.26953125,68.53418031438066,3.048403625888616e-08,1.9541555429651135e-07
0.0,1.15,29,0.48174588450114225,0.008142046000991755,0.08272920583483998,7.860052734142712,98.0,87.16507328052906,1196301.26953125,68.53418031438066,3.048403625888616e-08,1.9541555429651135e-07
0.0,1.2,29,0.48174588450114225,0.008142046000991755,0.08272920583483998,7.860052734142712,98.0,87.16507328052906,1196301.26953125,68.53418031438066,3.048403625888616e-08,1.9541555429651135e-07
0.0,1.25,29,0.48174588450114225,0.008142046000991755,0.08272920583483998,7.860052734142712,98.0,87.16507328052906,1196301.26953125,68.53418031438066,3.048403625888616e-08,1.9541555429651135e-07
0.0,1.3,29,0.48174588450114225,0.008142046000991755,0.08272920583483998,7.860052734142712,98.0,87.16507328052906,1196301.26953125,68.53418031438066,3.048403625888616e-08,1.9541555429651135e-07
