z_min,N_hosts,kappa_cep,pct_change
0.0,29,1350380.512944539,7.454147338867187
0.001,29,1350380.512944539,7.454147338867187
0.002,29,1350380.512944539,7.454147338867187
0.003,29,1350380.512944539,7.454147338867187
0.0035,29,1350380.512944539,7.454147338867187
0.004,28,1325463.5037999833,5.4714202880859375
0.005,23,760690.7470437,-39.46937561035156
0.006,21,736145.7480402896,-41.42250061035156
0.007,16,758086.6760556819,-39.67658996582031
0.007,16,758086.6760556819,-39.67658996582031
0.008,13,650476.031206199,-48.23951721191406
0.009000000000000001,7,1148296.5504465392,-8.626327514648438
0.01,5,1130492.7970678546,-10.04302978515625
