galaxy,mu_trgb,mu_trgb_err,sne,reference,source,match_name,sigma_inferred,z_hd,z_cmb,distance_mpc,h0_trgb,h0_trgb_err
NGC 1309,32.52,0.05,2002fk,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC1309,85.48966270428608,0.00719,0.00668,31.915378551007663,67.53821733854835,7.986091657975459
NGC 1365,31.36,0.04,2012fr,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC1365,135.86279623041727,0.00483,0.0046,18.706821403657997,77.40478945593897,13.439957369287276
NGC 1448,31.32,0.04,2001el,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC1448,86.82548236717271,0.00333,0.00357,18.365383433483466,54.358183631488984,13.649344052621112
NGC 1559,31.44,0.04,2005df,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC1559,68.84088748488503,0.00407,0.00435,19.408858775927794,62.865896349007436,12.932667441049764
NGC 2442,31.45,0.05,2015F,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC2442,133.31717130180132,0.00488,0.00515,19.498445997580443,75.03096376098595,12.937408171249583
NGC 3021,32.42,0.05,1995al,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC3021,54.1974425370972,0.00673,0.00592,30.47894989627986,66.1966127181521,8.34280307306895
NGC 3370,32.09,0.04,1994ae,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC3370,80.45305219029427,0.00588,0.0054,26.18183008218989,67.32835892320321,9.628814680416927
NGC 3972,31.6,0.05,2011by,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC3972,73.21805713454891,0.00349,0.00369,20.892961308540407,50.07790245570953,12.021182818343815
NGC 4038,31.61,0.05,2007sr,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC4038,99.24471174407964,0.00571,0.0066,20.989398836235235,81.55616787960562,12.057904555466468
NGC 4424,31.04,0.05,2012cg,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC4424,61.18387212816052,0.00256,0.00256,16.143585568264854,47.540163195758325,15.524667242495799
NGC 4536,30.96,0.04,1981B,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC4536,94.7768686471138,0.00317,0.0035,15.55965631605075,61.07731896877846,16.10653615109118
NGC 4639,31.8,0.05,1990N,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC4639,96.40480287112231,0.00359,0.00462,22.908676527677734,46.98023139484699,10.966380403208694
NGC 5584,31.82,0.04,2007af,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC5584,92.5016917700842,0.00625,0.00635,23.12064790175595,81.0402403281137,10.91540812615555
NGC 5643,30.48,0.05,2017cbv,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC5643,99.7946772856074,0.00331,0.00478,12.473835142429433,79.55155929587946,20.125483928188387
NGC 5861,32.26,0.06,2017erp,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC5861,106.20418271445524,0.00677,0.00727,28.313919957993757,71.68187745360184,9.049000950030598
NGC 5917,32.3,0.06,2005cf,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC5917,52.64017958361095,0.0071,0.00703,28.840315031266027,73.80385580020352,8.905064477698392
NGC 7250,31.51,0.06,2013dy,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC7250,50.4111892361293,0.00432,0.00293,20.044720273651624,64.61070051760149,12.59923546649907
NGC 1015,32.63,0.06,2009ig,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC1015,101.5484288080592,0.00815,0.00801,33.573761424295505,72.77434606811467,7.713020549817879
