normalized_name,z_hd,z_cmb,z_hel,sigma_inferred,h0_derived
NGC 0691,0.00855,0.00861,0.00954,101.84679244339156,69.87900951130109
NGC 1015,0.00815,0.00801,0.00877,101.5484288080592,73.18611526208778
NGC 105,0.01682,0.01646,0.01765,83.85761906519484,63.675402914450224
NGC 1309,0.00719,0.00668,0.00719,85.48966270428608,67.88235044378399
NGC 1365,0.00483,0.0046,0.00492,135.86279623041727,78.64746822456762
NGC 1559,0.00407,0.00435,0.00435,68.84088748488503,62.267089704007184
NGC 2442,0.00488,0.00515,0.00476,133.31717130180132,74.50658266510234
NGC 2525,0.00602,0.00596,0.0051,77.89999876987692,71.47271732310762
NGC 2608,0.00855,0.00796,0.00719,83.41474960345026,76.42344785295253
NGC 3021,0.00673,0.00592,0.00504,54.1974425370972,67.06873529200871
NGC 3147,0.01079,0.00993,0.00973,223.40894356439284,77.92622844007376
NGC 3254,0.00648,0.0055,0.00452,109.46338856575277,64.23566114739536
NGC 3370,0.00588,0.0054,0.00427,80.45305219029427,65.72016878546579
NGC 3447,0.00465,0.00465,0.00352,51.72330736696996,56.93979111963599
NGC 3583,0.00857,0.00773,0.00702,102.6945397409901,71.09208789414787
NGC 4038,0.00571,0.0066,0.00542,99.24471174407964,80.66592711661346
NGC 4639,0.00359,0.00462,0.00355,96.40480287112231,47.2539535498104
NGC 4680,0.00864,0.00931,0.00817,100.59139374396904,80.16272242225186
NGC 5468,0.00954,0.00998,0.00907,64.83843341735236,65.90454721990034
NGC 5584,0.00625,0.00635,0.00552,92.5016917700842,79.35838535956727
NGC 5728,0.00996,0.0105,0.00974,166.738644821125,77.96496455699234
NGC 5861,0.00677,0.00727,0.00662,106.20418271445524,73.51365368063084
NGC 5917,0.0071,0.00703,0.00644,52.64017958361095,72.56045021022781
NGC 7250,0.00432,0.00293,0.00394,50.4111892361293,61.81729570561067
NGC 7329,0.01028,0.01042,0.01077,116.39793698312904,68.38878695366365
NGC 7541,0.00814,0.00769,0.00893,61.802987112436774,74.38894742461277
NGC 7678,0.01061,0.01049,0.01169,102.49610850692297,70.65732757346217
NGC 976,0.01312,0.01334,0.01413,212.70617385012537,76.91050216782021
UGC 9391,0.00747,0.00664,0.00638,72.84250306090047,61.227037814264555
