host,sigma,z_hd,is_anchor,mu_full,mu_full_err,h0_host,h0_global,n_ceph_rows,n_sn_rows,mean_period_term,median_period_term,mean_period_contrib,mean_Z_term,median_Z_term,mean_Z_contrib,frac_logP_gt_1.5,mean_PL_residual,std_PL_residual
M101,24.259487978011435,0.00122,False,29.159512759542324,0.03875121339977217,53.86144266450825,73.04342157542929,259,2,0.16847237391505793,0.175569,-0.5557084878925913,0.09813633513513513,0.10189,-0.02125100096771338,0.0,0.01957455927684235,0.35882092173653385
M1337,86.86632608105229,,False,32.91556166466239,0.08211918893742483,,73.04342157542929,15,3,0.7026080666666665,0.700857,-2.317562560763398,-0.184978,-0.19048,0.04005618970376963,0.0,-0.05068957432601238,0.5536305940432915
N0691,101.84679244339156,0.00855,False,32.82220030907798,0.0876811481466406,69.87901197676882,73.04342157542929,28,1,0.6438759285714285,0.6331545000000001,-2.1238337796395608,0.0898263,0.0966704,-0.01945149862787857,0.0,-0.030813359152836308,0.4122358492113094
N1015,101.5484288080592,0.00815,False,32.617748176168035,0.0600767417564431,73.18611208177255,73.04342157542929,18,3,0.6859653888888888,0.7173205,-2.262666454728616,-0.026104643333333337,-0.0381146,0.005652848152262676,0.0,-0.013911072537154389,0.29929516504836756
N105A,83.85761906519484,0.01682,False,34.49337515060869,0.11935780584766911,63.675397426322014,73.04342157542929,8,2,0.60526425,0.5668415,-1.9964726164096667,-0.12865739999999998,-0.14353,0.02786020619313524,0.0,0.07088714555125675,0.7172726815595032
N1309,85.48966270428608,0.00719,False,32.50896363299066,0.050678027974809775,67.88234970116991,73.04342157542929,53,2,0.7208576037735849,0.708395,-2.377758914828774,-0.0802210920754717,-0.0837496,0.01737153219528087,0.0,0.06344179596361217,0.4278945864053872
N1365,135.86279623041727,0.00483,False,31.325415657683823,0.05006324198792222,78.64746017031403,73.04342157542929,46,2,0.4456919565217391,0.4402925,-1.470121168646091,-0.14020917217391302,-0.122005,0.03036169273538886,0.0,-0.04195031756883439,0.4065335322855685
N1448,86.82548236717271,0.00333,False,31.29511370842972,0.035728551470788315,54.984742399385716,73.04342157542929,73,2,0.49102632876712327,0.446157,-1.6196572312336832,-0.11260487589041096,-0.10962,0.024384101191686235,0.0,-0.07678572669088181,0.3524309013403723
N1559,68.84088748488503,0.00407,False,31.4607828127205,0.051633381831437127,62.26708710384476,73.04342157542929,110,2,0.48591557272727287,0.485808,-1.6027993307667188,0.003140314909090909,0.008695419999999999,-0.0006800216767838423,0.0,0.03352528930278447,0.46908898981187286
N2442,133.31717130180132,0.00488,False,31.465229359648603,0.054636699601577694,74.50658413884653,73.04342157542929,177,2,0.528929581920904,0.512404,-1.7446816432890235,0.0022052437288135602,0.0238004,-0.0004775360374985364,0.0,0.004580058728680617,0.44680620289719464
