host,is_anchor,z_hd,sigma,mu_published,mu_published_err,mu_matrix,mu_matrix_err,delta_mu,delta_mu_err,h0_published,h0_matrix,delta_h0,abs_delta_mu,abs_delta_h0
N0691,False,0.00855,101.84679244339156,32.82220038569176,0.0876811481466406,32.82220030907798,0.0876811481466406,7.661378020884513e-08,0.12399986887342371,69.87900951130109,69.87901197676882,-2.4654677304170036e-06,7.661378020884513e-08,2.4654677304170036e-06
N1015,False,0.00815,101.5484288080592,32.617748081806326,0.060076741756443,32.617748176168035,0.0600767417564431,-9.436170955723355e-08,0.08496134297514779,73.18611526208778,73.18611208177255,3.1803152324982875e-06,9.436170955723355e-08,3.1803152324982875e-06
N105A,False,0.01682,83.85761906519484,34.493374963451345,0.1193578058476689,34.49337515060869,0.11935780584766911,-1.8715734739771506e-07,0.16879742780486823,63.675402914450224,63.675397426322014,5.488128209663046e-06,1.8715734739771506e-07,5.488128209663046e-06
N1309,False,0.00719,85.48966270428608,32.50896360923535,0.0506780279748097,32.50896363299066,0.050678027974809775,-2.375530527842784e-08,0.07166955447629904,67.88235044378399,67.88234970116991,7.426140768984624e-07,2.375530527842784e-08,7.426140768984624e-07
N1365,False,0.00483,135.86279623041727,31.32541543530425,0.0500632419879221,31.325415657683823,0.05006324198792222,-2.2237957253423701e-07,0.07080011579568571,78.64746822456762,78.64746017031403,8.054253584077742e-06,2.2237957253423701e-07,8.054253584077742e-06
N1559,False,0.00407,68.84088748488503,31.46078272204369,0.0516333818314369,31.4607828127205,0.051633381831437127,-9.067681006058592e-08,0.07302062885720678,62.267089704007184,62.26708710384476,2.6001624249261113e-06,9.067681006058592e-08,2.6001624249261113e-06
N2442,False,0.00488,133.31717130180132,31.465229402600443,0.0546366996015777,31.465229359648603,0.054636699601577694,4.2951839418492455e-08,0.07726796157985585,74.50658266510234,74.50658413884653,-1.4737441915713134e-06,4.2951839418492455e-08,1.4737441915713134e-06
N2525,False,0.00602,77.89999876987692,32.01138450158723,0.0606591197975918,32.011384827452495,0.060659119797592,-3.258652654380967e-07,0.08578494989936877,71.47271732310762,71.47270659744784,1.0725659777222063e-05,3.258652654380967e-07,1.0725659777222063e-05
N2608,False,0.00855,83.41474960345026,32.62780095307221,0.1148434167441644,32.62780095609936,0.11484341674416454,-3.0271465334408276e-09,0.16241311750886278,76.42344785295253,76.42344774641423,1.0653830884166382e-07,3.0271465334408276e-09,1.0653830884166382e-07
N3021,False,0.00673,54.1974425370972,32.39157825089393,0.0966189000632787,32.391578056420705,0.09661890006327875,1.9447322330279349e-07,0.13663975885105945,67.06873529200871,67.06874129856614,-6.006557427440384e-06,1.9447322330279349e-07,6.006557427440384e-06
