dropped_host,sigma_kms,kappa,kappa_err,significance,chi2,rank
LMC,18.3626282846689,-136652.97969159178,239263.23255492927,0.5711407399806798,3063.5480392041127,46
M101,24.259487978011435,-131989.4229664331,215824.46882972703,0.6115591234030331,3307.3879560665077,46
M1337,86.86632608105229,-67508.99084915762,210327.80310282923,0.3209703608046174,3532.982021231077,46
M31,128.54156498170164,-53367.114132238385,210366.32612191452,0.2536865814793491,3459.870214150379,46
N0691,101.84679244339156,-66659.7636200761,210265.23418252496,0.317027034351341,3532.031321930376,46
N1015,101.5484288080592,-75172.86867764355,210355.48843654388,0.3573610997096484,3533.0244479488647,46
N105A,83.85761906519484,-68850.34989489119,210299.63590653974,0.32739167425610427,3533.3475339205625,46
N1309,85.48966270428608,-73600.93634597877,210372.30150858674,0.3498603942543007,3494.542666002732,46
N1365,135.86279623041727,62600.52807236698,216508.388637983,0.28913673260503264,3481.9834650324074,46
N1448,86.82548236717271,-69043.48774596225,210399.98260340496,0.3281534860014998,3449.1229655166653,46
N1559,68.84088748488503,-88458.18614278588,211559.0991620013,0.4181251787002981,3459.2149771142413,46
N2442,133.31717130180132,-90260.59736078767,213831.99169811493,0.42210988469964933,3397.214773948845,46
N2525,77.89999876987692,-78796.84665051827,210930.62873365346,0.37356759008202983,3476.9752172355475,46
N2608,83.41474960345026,-66755.16620404816,210383.23963372372,0.31730268209705587,3527.9575374848573,46
N3021,54.1974425370972,-76926.02506270984,210987.98780158442,0.36459907440347733,3544.6937701231136,46
N3147,223.40894356439284,-177925.00885871565,242935.75481804923,0.7323953157573513,3532.31803575081,46
N3254,109.46338856575277,-90202.29565601877,211059.5689190879,0.4273783752993396,3495.364603791394,46
N3370,80.45305219029427,-57946.00997275817,210562.38845415204,0.27519639380123845,3454.307573669894,46
N3447,51.72330736696996,-36226.08554237001,212845.88026144236,0.17019866909273917,3455.855265099118,46
N3583,102.6945397409901,-69313.14356530887,210398.70969783573,0.32943711330194464,3516.253211801429,46
N3972,73.21805713454891,-46877.185029976485,210915.0381073337,0.22225624806383365,3508.385206594151,46
N3982,83.62532965097546,-77055.2666553678,210341.90019113684,0.3663334151937773,3521.780892671891,46
N4038,99.24471174407964,-69159.31168066685,210265.86745920894,0.32891363927187844,3523.4700329800166,46
N4258,101.3961443852618,-114636.42977998733,220581.08854714542,0.519701985945571,3047.4943931925745,46
N4424,61.18387212816052,-72045.93811971138,210669.0083684209,0.3419864111844892,3524.5028750563115,46
N4536,94.7768686471138,-63798.70282916223,210311.67336486047,0.30335312257480196,3505.306831081599,46
N4639,96.40480287112231,-57577.04928751856,210295.553745265,0.27379109192799544,3525.6492773377004,46
N4680,100.59139374396904,-66783.30247689129,210268.6500294555,0.3176094128513021,3543.2267781445435,46
N5468,64.83843341735236,-41278.97405400464,211851.76964048462,0.19484837971405963,3460.491846602039,46
N5584,92.5016917700842,-67828.54023101524,210376.71806025793,0.3224146704845315,3371.561092764751,46
N5643,99.7946772856074,-78671.57171117565,210366.45713326972,0.3739739347387319,3330.6758013338053,46
N5728,166.738644821125,-30389.538627014623,213486.00396340428,0.1423490911011852,3524.6090769390994,46
N5861,106.20418271445524,-64195.94961783033,210348.13426953024,0.3051890611759487,3503.634490057817,46
N5917,52.64017958361095,-73269.45099523956,211020.23890696606,0.34721527837688765,3533.516122673236,46
N7250,50.4111892361293,-75428.59274805071,210669.88773613644,0.3580416430587595,3515.750539837044,46
N7329,116.39793698312904,-75704.8755533126,210584.9091882988,0.35949810385329906,3503.0237258693714,46
N7541,61.802987112436774,-54279.449525929595,210876.42047175893,0.257399330871129,3525.433103355655,46
N7678,102.49610850692297,-69784.67874258535,210276.76941084056,0.3318706052889725,3533.2750297077673,46
N976A,212.70617385012537,83812.3857053013,239741.4336337711,0.3495949132986877,3516.8910522819792,46
U9391,72.84250306090047,-78808.82720875421,210616.7305741882,0.37418122954384375,3513.3235775473904,46
