model,n_params,rank,chi2,dof,chi2_reduced,H0,branch,description,n_hosts,r,p_r,rho,p_rho,AIC,BIC,kappa_Cep,kappa_Cep_err,kappa_Cep_sig,kappa_SN,kappa_SN_err,kappa_SN_sig
A_standard,46,46,3552.706270469551,3444,1.031563957743772,73.04342157542929,primary,Standard (no TEP),38,0.04869489613837359,0.009754036346801628,0.026478120014553436,0.16010745411356828,3644.706270469551,3927.9584931685886,,,,,,
B_cepheid_tep,47,47,3552.444608393198,3443,1.0317875714182974,73.18658054314699,primary,Cepheid-bias TEP,38,0.04042947211610244,0.03192448928153277,0.020941295580391886,0.2666117622511664,3646.444608393198,3935.854488107432,-110128.97886849013,215293.65003571703,0.5115291549482293,,,
C_full_tep,48,48,3551.3668454560925,3442,1.031774214252206,73.02198322246458,primary,Full TEP (Cepheid + SN),38,0.031572985843295674,0.093909574120343,0.016749657948410424,0.37426917350955324,3647.3668454560925,3942.934382185523,258733.45938951342,415444.1788484977,0.622787542977867,499054.4927996574,480713.5317546965,1.038153619221021
A_standard,46,46,3599.4490616443413,3473,1.0364091740985721,72.25213201350167,sigma_v_150,Standard (no TEP),38,0.028326420642291114,0.1328896204233447,0.014848336746720606,0.4309100179492026,3691.4490616443413,3975.081939961134,,,,,,
B_cepheid_tep,47,47,3599.274847481605,3472,1.03665750215484,72.13900591440444,sigma_v_150,Cepheid-bias TEP,38,0.03566255685672812,0.058460238557334454,0.019826634082324896,0.2929113504704994,3693.274847481605,3983.0736579357194,85491.76126513166,204824.79803095837,0.4173897012812382,,,
C_full_tep,48,48,3594.4851028141343,3471,1.035576232444291,72.0055533999482,sigma_v_150,Full TEP (Cepheid + SN),38,0.032296916200517285,0.08661064649092927,0.017037524572839826,0.3661134450290804,3690.4851028141343,3986.44984540557,266586.25970519625,220907.5905684475,1.206777272882325,413109.0196954561,188759.35994229728,2.18854852984107
A_standard,46,46,3569.6905138526154,3472,1.0281366687363525,72.74765545120697,sigma_v_250,Standard (no TEP),38,0.03972207671374923,0.03504936855830879,0.02138827790687213,0.25653618397881167,3661.6905138526154,3945.3103184163006,,,,,,
B_cepheid_tep,47,47,3569.681688252527,3471,1.028430333694188,72.77374343628763,sigma_v_250,Cepheid-bias TEP,38,0.03813759166678719,0.043006491043131576,0.02035235589679703,0.2802979067204332,3663.681688252527,3953.4671407415094,-19738.63647626136,210109.17942100338,0.09394466501013903,,,
C_full_tep,48,48,3566.754257780448,3470,1.027883071406469,72.63183000980764,sigma_v_250,Full TEP (Cepheid + SN),38,0.032836994909991174,0.08146925294302583,0.017087121964147158,0.3647195451656675,3662.754257780448,3958.705358194728,223888.96391195647,253813.16973471706,0.8821014455079811,418051.1661811195,244335.26010746355,1.7109735451086847
A_standard,46,46,3556.1380415698263,3458,1.0283800004539694,72.99770124219911,sigma_v_500,Standard (no TEP),38,0.04669171622150475,0.013212341886075014,0.025488715325807352,0.17631031097090502,3648.1380415698263,3931.574422364415,,,,,,
B_cepheid_tep,47,47,3555.9583294894674,3457,1.0286254930545176,73.1165981995329,sigma_v_500,Cepheid-bias TEP,38,0.03975576693709335,0.034894832986564796,0.020845518206180913,0.26880564062930906,3649.9583294894674,3939.5563707361125,-90689.30431037172,213927.90324475802,0.4239246163536356,,,
C_full_tep,48,48,3554.4278404549514,3456,1.0284802779094189,72.97095089935982,sigma_v_500,Full TEP (Cepheid + SN),38,0.032738990192405226,0.08238339136128454,0.017173883570562067,0.3622891529697483,3650.4278404549514,3946.187542153653,210199.22187650148,323911.60454284196,0.6489400778745474,434279.206819855,351037.8328560963,1.2371293523734876
A_standard,46,46,3553.1523422644527,3445,1.0313940035600733,73.03465462253558,sigma_v_1000,Standard (no TEP),38,0.048667830482854495,0.00979479092008956,0.02643074651803753,0.16085668617108853,3645.1523422644527,3928.4177435912843,,,,,,
B_cepheid_tep,47,47,3552.892109936153,3444,1.0316179180999283,73.1773900598834,sigma_v_1000,Cepheid-bias TEP,38,0.04042515521627461,0.03194281009203734,0.020905042638180386,0.26744072021870685,3646.892109936153,3936.3154547700897,-109827.44808517024,215293.17818128984,0.5101297171278177,,,
C_full_tep,48,48,3551.8067491053093,3443,1.0316023087729624,73.01231576416043,sigma_v_1000,Full TEP (Cepheid + SN),38,0.031537832132553296,0.09427619124321815,0.016689585240187172,0.37598518881691034,3647.8067491053093,3943.388037446351,260324.7482252376,415437.25095162325,0.6266283238417438,500802.9623078648,480706.303299668,1.041806522756721
