model,n_hosts,n_params,dof,chi2,chi2_reduced,logL,AIC,BIC,H_app,H_app_err,sigma_int,sigma_int_err,beta_X,beta_X_err,beta_X_sig,beta_X_p_perm,loocv_mse,max_vif,status,sigma_v,sample,beta_Z,beta_Z_err,beta_Z_sig,beta_P,beta_P_err,beta_P_sig,beta_z,beta_z_err,beta_z_sig
0_intercept_only,29,2,27,31.664289239910158,1.1727514533300059,-71.6238447610854,147.2476895221708,149.98228118214374,69.85115286352877,1.242840093530866,3.81312221378182,1.6124326897764072,,,,,61.60704151546426,1.0,ok,150,primary,,,,,,,,,
1_X,29,3,26,34.34644999035876,1.3210173073214906,-67.12372454537808,140.24744909075616,144.34933658071557,69.4439584918582,0.9926266216840309,4.016872035337903e-06,6.178814166152866,23982064.984634228,7049663.610286326,3.4018736652400614,0.022,51.29055291966083,1.0,ok,150,primary,,,,,,,,,
2_X_Z,29,4,25,32.842161199079676,1.3136864479631871,-66.37158014974759,140.74316029949517,146.21234361944107,69.4369405896462,0.9926431133258247,5.816693903070491e-06,4.065687973964794,18882537.772224233,8184443.432537738,2.307125454267982,0.068,52.270353054792324,1.2974146443621075,ok,150,primary,11.201434052755284,9.132885578280066,1.226494513343588,,,,,,
3_X_Z_P,29,5,24,32.32484857085182,1.3468686904521592,-66.11292383563253,142.22584767126506,149.06232682119742,69.26982683519614,1.0194729655728134,5.625702606069418e-06,4.333997257179871,19222379.64252049,8198071.0561299,2.3447442100599316,0.068,54.58411888860801,1.4308409803558384,ok,150,primary,8.879909133022789,9.686476205167441,0.9167326636579799,10.660648769851326,14.822009764702152,0.7192444843235165,,,
4_X_Z_P_z,29,6,23,32.19838166486066,1.3999296376026376,-66.04969038263445,144.0993807652689,152.30315574518775,69.35879872854572,1.0497230875456345,5.1698354013635855e-06,4.014025366999238,20364481.97818912,8804686.932398474,2.3129138076737563,0.066,60.6253762896607,1.5100698203225003,ok,150,primary,8.467670651610442,9.75559206286129,0.8679812149839828,12.499122538588598,15.697713868999326,0.7962383976989493,-132.11194887503316,371.49558118123304,0.3556218581522851
0_intercept_only,29,2,27,19.90255763504578,0.7371317642609548,-72.22383333348799,148.44766666697598,151.18225832694893,69.92354747476905,1.4787638934914193,6.339139935571968e-06,4.055815085552699,,,,,61.22223439099767,1.0,ok,250,primary,,,,,,,,,
1_X,29,3,26,14.43038431067244,0.5550147811797093,-69.48774667130134,144.97549334260268,149.07738083256208,69.4749457842107,1.4911466859412463,6.34421476131279e-06,2.756713741039445,23497395.187015697,10044765.415191676,2.3392676897638944,0.032,51.0973904849463,1.0,ok,250,primary,,,,,,,,,
2_X_Z,29,4,25,13.645133364473725,0.545805334578949,-69.09512119820197,146.19024239640393,151.65942571634983,69.4583332353686,1.4912645269766496,6.34421476131279e-06,2.6517783754526554,18124125.62612142,11733081.823390223,1.5447029091700764,0.072,52.07659968096862,1.2974146443621075,ok,250,primary,12.218120258091187,13.787964647926016,0.8861438631501739,,,,,,
3_X_Z_P,29,5,24,13.393995938094186,0.5580831640872578,-68.9695524850122,147.9391049700244,154.77558411995676,69.26159897161538,1.5420720436425372,6.34421476131279e-06,2.6657513609258925,18515659.927552413,11759065.791274155,1.574585962542365,0.07,54.412087043291315,1.4308409803558384,ok,250,primary,9.710678309277919,14.667758078283061,0.6620424373957635,11.585487806961867,23.118444240021535,0.5011361355754912,,,
4_X_Z_P_z,29,6,23,13.1133103622213,0.5701439287922304,-68.82920969707577,149.65841939415154,157.86219437407038,69.55703205766345,1.6397992661998608,6.34421476131279e-06,2.5796258074376825,20688590.256723017,12453810.309070729,1.661225740820421,0.064,59.97346464057968,1.5100698203225003,ok,250,primary,8.389656517092147,14.878185341512683,0.563889770460351,14.892364980345326,23.946235666385686,0.621908394614622,-256.3915933397931,483.94246652121797,0.5297976744691238
0_intercept_only,29,2,27,5.7142822799532835,0.2116400844427142,-83.8524067603893,171.7048135207786,174.43940518075155,69.86597944322241,2.741766565755557,6.34421476131279e-06,4.509482453373046,,,,,61.25221424506512,1.0,ok,500,primary,,,,,,,,,
1_X,29,3,26,4.04323406958027,0.15550900267616424,-83.0168826552028,172.0337653104056,176.13565280036502,69.35494242763606,2.770120636292916,6.34421476131279e-06,4.18419990507498,23712571.554049026,18343582.80832162,1.292690299481285,0.038,51.168527866884276,1.0,ok,500,primary,,,,,,,,,
2_X_Z,29,4,25,3.771977177476494,0.15087908709905976,-82.8812542091509,173.7625084183018,179.2316917382477,69.36346384891891,2.7701689545016484,6.34421476131279e-06,4.1264224063405095,17796946.806726526,21575360.068098344,0.8248736869537284,0.07,52.172121299998246,1.2974146443621075,ok,500,primary,13.532626534548072,25.983144334247267,0.5208232829893223,,,,,,
3_X_Z_P,29,5,24,3.692300073358911,0.1538458363899546,-82.84141565709213,175.68283131418426,182.51931046411661,69.14051851391704,2.8805662118240827,6.34421476131279e-06,4.129709085748385,18246662.41597582,21634104.066322457,0.8434212186480222,0.076,54.66371905677165,1.4308409803558384,ok,500,primary,10.821398684348878,27.701635548142107,0.3906411470016848,12.581014622880387,44.57064269710858,0.2822713306688878,,,
4_X_Z_P_z,29,6,23,3.52204520362,0.1531324001573913,-82.75628822222266,177.51257644444533,185.71635142436418,69.69177877883205,3.1753049430700804,6.34421476131279e-06,4.062181140445277,20986263.018014763,22630020.915102597,0.927363836593238,0.06,59.816187584372464,1.5100698203225003,ok,500,primary,8.274170736154273,28.38116206691446,0.29153741896283897,16.62327728562155,45.63458435477499,0.36426928218273935,-332.1201698761599,804.9065842985505,0.4126195217617603
0_intercept_only,35,2,33,38.7349447481093,1.1737862044881606,-93.99771833479512,191.99543666959025,195.10613279256907,68.38739494592879,1.3920100425803303,5.610516618476064,1.5818797737080725,,,,,93.28820271686968,1.0,ok,150,sensitivity,,,,,,,,,
1_X,35,3,32,42.776614234202604,1.3367691948188314,-89.53049540486931,185.06099080973863,189.72703499420686,68.18750884039595,1.1366403261150504,3.2918027224609707,2.077140167605833,28682664.471088253,8588709.143296838,3.3395780428161297,0.008,78.11639805984844,1.0,ok,150,sensitivity,,,,,,,,,
2_X_Z,35,4,31,44.10035690576489,1.4225921582504804,-89.06395181448535,186.1279036289707,192.34929587492834,68.22405710422206,1.0956133154170657,2.8371770684711985,2.367148794987462,23935078.022367917,9398237.742461985,2.5467623482461326,0.04,79.76599423292332,1.2247469072480468,ok,150,sensitivity,9.957631482923045,10.069763177659803,0.9888645152067203,,,,,,
3_X_Z_P,35,5,30,41.30060354387558,1.3766867847958528,-85.95881943290486,181.91763886580972,189.69437917325678,67.4087302990455,1.0851967005898286,2.0547380640669686,2.49256682774791,22562324.036139287,8790842.088950153,2.5665714169180114,0.034,74.40184619720289,1.2571226566694924,ok,150,sensitivity,3.8492518046680875,9.830408606604113,0.39156579941978636,33.84957794024493,13.485461233133275,2.5100793628828786,,,
4_X_Z_P_z,35,6,29,40.95597416894736,1.4122749713430123,-85.91468691569659,183.82937383139318,193.16146220032965,67.3387063221756,1.1162183397146892,2.1199889449444704,2.4218319935317782,21466563.81861318,9572853.06599929,2.2424415867049903,0.068,81.13251256827732,1.9775337823896262,ok,150,sensitivity,4.291494092123592,9.989768094839693,0.42958896056259827,31.697021518674543,15.494235131180229,2.0457299924981913,119.33783119918556,400.09964961552174,0.2982702717032219
0_intercept_only,35,2,33,28.77785135286158,0.872056101601866,-92.87382099332186,189.7476419866437,192.85833810962254,68.99956238165865,1.433563727374323,5.87307356248937e-06,4.526491951492291,,,,,93.23061541808653,1.0,ok,250,sensitivity,,,,,,,,,
1_X,35,3,32,21.65211677374404,0.6766286491795013,-89.31095370376448,184.62190740752897,189.2879515919972,68.37726198830163,1.4523950311330596,6.34421476131279e-06,2.803946432057899,26600203.140415013,9964835.470435532,2.6694071587368016,0.02,77.62791923590883,1.0,ok,250,sensitivity,,,,,,,,,
2_X_Z,35,4,31,20.929546250440666,0.6751466532400214,-88.94966844211281,185.89933688422562,192.12072913018326,68.40988084381829,1.4529018662253272,6.34421476131279e-06,2.701880733255195,21652775.835737098,11540055.945662323,1.876314632935202,0.048,79.00059008100031,1.2247469072480468,ok,250,sensitivity,11.389005579059534,13.398176210250567,0.8500414832838313,,,,,,
3_X_Z_P,35,5,30,18.40913413003954,0.6136378043346513,-87.68946238191226,185.37892476382453,193.15566507127159,67.45707970979892,1.57197803027864,6.34421476131279e-06,2.71460576436328,21438509.43987657,11540845.13972582,1.8576204065056794,0.036,73.62425392670121,1.2571226566694924,ok,250,sensitivity,5.244990889954551,13.945909979231914,0.3760952779535599,31.56510208189538,19.882519564190556,1.5875805870572741,,,
