sample,screening,sigma_v,N_hosts,z_cut,beta_X,beta_X_err,beta_X_sig,redshift_binned_permutation_p,LOOCV
primary,screened,150,29,0.0,23982064.984634534,7049663.610291014,3.4018736652378423,,
primary,screened,250,29,0.0,23497395.187015716,10044765.415191676,2.339267689763896,,
primary,screened,300,29,0.0,23509657.94119122,11647171.339354116,2.0184864853627995,,
primary,screened,500,29,0.0,23712571.554049026,18343582.80832162,1.292690299481285,,
primary,screened,750,29,0.0,23862314.84272378,26972382.580516316,0.8846943636325582,,
primary,screened,1000,29,0.0,23930776.91964512,35701230.84420555,0.6703067752502763,,
sensitivity,screened,250,35,0.0,26600203.140415013,9964835.470435532,2.6694071587368016,,
primary,screened,250,29,0.0035,23497395.187015716,10044765.415191676,2.339267689763896,,
primary,screened,250,23,0.005,20183162.359004807,10226164.807297034,1.97367857249893,,
primary,screened,250,13,0.0075,19476839.91105287,10912711.995584114,1.7847845630796706,,
