model,n_hosts,n_params,dof,H_app,H_app_err,kappa_Cep,kappa_Cep_err,beta_X,beta_X_err,sigma_int_v,sigma_int_v_err,chi2,chi2_reduced,logL,AIC,BIC,status,n_iter,sigma_v,sample,z_cut
H0,29,2,27,70.07355826935391,1.0192185146509376,0.0,,0.0,,50.0,0.0,42.32133875231124,1.5674569908263423,-171.95479915894092,347.90959831788183,350.64418997785475,converged,8,150,primary,0.0
Hβ,29,3,26,69.63277226333173,1.031391125652085,0.0,,23300873.73494604,7395315.668326008,50.0,0.0,31.57855132927204,1.2145596665104632,-166.6049167497276,339.2098334994552,343.31172098941465,converged,20,150,primary,0.0
K0,29,3,26,69.58273151452201,1.0363065321099345,680900.3100346747,209512.85311143403,0.0,,50.0,59.675519968182684,31.74452082717338,1.2209431087374376,-166.6872774374948,339.3745548749896,343.47644236494904,converged,18,150,primary,0.0
Kfixβ,29,3,26,69.59628779593727,0.7273162093565582,970000.0,,-9206675.780239481,3636581.045889538,50.0,0.0,31.715174806829715,1.2198144156472968,-166.67249031232234,339.3449806246447,343.4468681146041,converged,17,150,primary,0.0
Kpriorβ,29,4,25,69.59681893433249,1.0383482616370225,976591.515464341,409296.2481947727,-9411954.040652959,14289842.2789549,50.0,0.0,31.7138259951998,1.268553039807992,-166.672674209504,341.345348419008,346.8145317389539,converged,28,150,primary,0.0
Kβ,29,4,25,70.60072577176105,1.1018428244146967,3913564.2374082166,73239.09430887415,-82261843.21087988,4202711.926808491,50.0,0.0,30.007278123482646,1.2002911249393058,-165.8240837997097,339.6481675994194,345.1173509193653,converged,35,150,primary,0.0
H0,29,2,27,70.08843762099839,1.4815221243079613,0.0,,0.0,,0.01,59.334914819912015,19.891317774790835,0.7367154731404013,-171.93914526564058,347.87829053128115,350.6128821912541,converged,13,250,primary,0.0
Hβ,29,3,26,69.54412919919008,1.4976818546869464,0.0,,23089479.667498726,10136708.046359083,0.01,59.347330739442505,14.47870406419805,0.5568732332383866,-169.24017317904935,344.4803463580987,348.58223384805814,converged,13,250,primary,0.0
K0,29,3,26,69.49704040656978,1.5057842092717526,676388.4100331714,286532.92098892474,0.0,,0.01,0.0,14.555736636903884,0.5598360244963032,-169.27845786077089,344.55691572154177,348.6588032115012,converged,15,250,primary,0.0
Kfixβ,29,3,26,69.51154615188766,1.5107316554717842,970000.0,,-9317962.754015485,8893065.208937196,0.01,0.0,14.541383590684454,0.5592839842570944,-169.27126912761577,344.54253825523153,348.644425745191,converged,18,250,primary,0.0
