model,N_hosts,n_params,dof,H_app,H_app_err,kappa_Cep,kappa_Cep_err,kappa_Cep_sig,beta_X,beta_X_err,beta_X_sig,delta_m,sigma_int_v,logL,AIC,BIC,status,sigma_v
E0,13,18,0.0,69.55675243760749,1.8123940606348805,0.0,388955.7650257255,0.0,0.0,35913988.748020574,0.0,-0.01091130298148668,3.0146185069604767,-2.3291272621044703,40.65825452420894,50.8273429585166,converged,150
Eβ,13,18,0.0,69.27948382150701,1.806738244890582,0.0,389372.00438066927,0.0,51306193.8849553,36041658.95773808,1.4235247590882594,-0.011401885094809336,3.025529742140081,-1.2961010047855717,38.592202009571146,48.761290443878806,converged,150
Eκ,13,18,0.0,69.36898267556435,1.8079880849308283,380923.631602733,385953.6936510414,0.9869671876936191,0.0,35760780.78315088,0.0,-0.018268626302662138,3.0296094626701966,-1.8437281821591682,39.68745636431834,49.856544798626,converged,150
Eκβ,13,18,0.0,69.13327984973576,1.8037076175235052,317421.94645406224,390861.8360348959,0.8121078017597068,47498819.292814404,35857915.39770232,1.3246397278258402,-0.01749808537520188,3.0365145602955437,-0.9638962088079062,37.92779241761581,48.09688085192347,converged,150
Eκpriorβ,13,18,,68.98768981377248,,634959.7432156544,280227.0805134467,2.265875739247784,43712570.253931694,35553856.42448008,1.229474792608828,-0.02359658150919989,3.0325329848986944,-1.2963659613279104,38.59273192265582,48.76182035696348,converged,150
E0,13,18,0.0,69.50948171332186,2.8374245665026328,0.0,390004.07831390866,0.0,0.0,57800265.44706008,0.0,-0.01144543427579127,2.9980442110534837,-2.3655211823700837,40.73104236474017,50.90013079904783,converged,250
Eβ,13,18,0.0,69.26563825301716,2.832472301146371,0.0,390264.98738981236,0.0,50710974.87408726,57810731.13073981,0.8771896477040508,-0.011637054917171498,2.9885548949025775,-1.9787817896411926,39.957563579282386,50.126652013590046,converged,250
Eκ,13,18,0.0,69.34353437051989,2.830510901624372,342854.4476808236,391484.0853161106,0.8757813166376351,0.0,57532016.02005218,0.0,-0.018052975952436715,2.9942050440623516,-1.9761415401309206,39.95228308026184,50.1213715145695,converged,250
Eκβ,13,18,0.0,69.11873790655137,2.82757954626399,318724.7822620197,387178.7142819489,0.8231981007869144,46912656.54994811,57597201.99596841,0.8144954081837487,-0.0177666681397558,2.984129176582925,-1.6441144108680437,39.288228821736084,49.45731725604375,converged,250
Eκpriorβ,13,18,,68.9733015797796,,635783.9545543826,277844.315435111,2.288274113359956,43150896.22017765,57238606.38692702,0.7538774778771181,-0.023862929526829932,2.9863669503713783,-1.9752713280493472,39.9505426560987,50.11963109040636,converged,250
E0,13,18,0.0,69.48695163150279,5.505627318217151,0.0,390478.81689587655,0.0,0.0,113937221.49022475,0.0,-0.011704061687327195,2.996056262938779,-8.3484688000945,52.696937600189,62.866026034496656,converged,500
Eβ,13,18,0.0,69.25815298769979,5.5098047049538765,0.0,390423.828583187,0.0,50446037.60182039,113919199.77306646,0.44282296313801156,-0.011753720284990022,2.9787511557530784,-8.250093892267198,52.5001877845344,62.66927621884206,converged,500
Eκ,13,18,0.0,69.33077101479955,5.496711506686556,325483.9028087654,393982.7977110409,0.826137345842915,0.0,113234461.07103395,0.0,-0.017969764843267226,2.994059774946983,-7.999126443366224,51.998252886732445,62.16734132104011,converged,500
Eκβ,13,18,0.0,69.11069989029602,5.497947705275143,319303.44774138444,392386.47234268754,0.8137473390329404,46646352.66903994,113562258.82405825,0.4107557665025757,-0.01789706522738803,2.9763490682330196,-7.9143573233675255,51.82871464673505,61.99780308104271,converged,500
Eκpriorβ,13,18,,68.96588002072797,,636140.0793894754,278296.4043955242,2.2858365014496265,42865781.829709254,112944844.14885859,0.37952845172120636,-0.023994062433933493,2.9764171277175766,-8.24492146464123,52.48984292928246,62.65893136359012,converged,500
