model,sigma_v,N_hosts,N_ext,H_app,H_app_err,Gamma_X,Gamma_X_err,Gamma_X_sig,chi2,chi2_reduced,dof,gamma_factor,kappa_A,beta_A,kappa_B,beta_B,kappa_C,beta_C,kappa_D,beta_D,kappa_diff,kappa_diff_err,kappa_diff_sig,a_offset,a_offset_err
T0,150,29,13,69.44394923509635,0.9926360886913993,23982138.84894013,7049770.372698844,3.4018326244800954,34.345980581219116,1.2720733548599672,27,31.98012046147363,0.0,23982138.84894013,749907.7083787521,0.0,970000.0,-7038577.99868929,319498.3427961003,13764543.359079648,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
TGamma,150,29,13,69.44394923509635,0.9926360886913993,23982138.84894013,7049770.372698844,3.4018326244800954,34.345980581219116,1.2720733548599672,27,31.98012046147363,0.0,23982138.84894013,749907.7083787521,0.0,970000.0,-7038577.99868929,319498.3427961003,13764543.359079648,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
TK,150,29,13,69.44394923509635,0.9926360886913993,23982138.84894013,7049770.372698844,3.4018326244800954,34.345980581219116,1.2720733548599672,27,31.98012046147363,0.0,23982138.84894013,749907.7083787521,0.0,970000.0,-7038577.99868929,319498.3427961003,13764543.359079648,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
TBeta,150,29,13,69.44394923509635,0.9926360886913993,23982138.84894013,7049770.372698844,3.4018326244800954,34.345980581219116,1.2720733548599672,27,31.98012046147363,0.0,23982138.84894013,749907.7083787521,0.0,970000.0,-7038577.99868929,319498.3427961003,13764543.359079648,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
TMixed,150,29,13,69.44394923509635,0.9926360886913993,23982138.84894013,7049770.372698844,3.4018326244800954,34.345980581219116,1.2720733548599672,27,31.98012046147363,0.0,23982138.84894013,749907.7083787521,0.0,970000.0,-7038577.99868929,319498.3427961003,13764543.359079648,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
T0,250,29,13,69.47494948629192,1.4911552545026812,23497399.490530126,10044845.145968033,2.3392495502991304,14.430256805221143,0.5344539557489312,27,31.994396604730024,0.0,23497399.490530126,734422.3359116669,0.0,970000.0,-7537165.216057997,319498.3427961003,13275242.796557704,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
TGamma,250,29,13,69.47494948629192,1.4911552545026812,23497399.490530126,10044845.145968033,2.3392495502991304,14.430256805221143,0.5344539557489312,27,31.994396604730024,0.0,23497399.490530126,734422.3359116669,0.0,970000.0,-7537165.216057997,319498.3427961003,13275242.796557704,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
TK,250,29,13,69.47494948629192,1.4911552545026812,23497399.490530126,10044845.145968033,2.3392495502991304,14.430256805221143,0.5344539557489312,27,31.994396604730024,0.0,23497399.490530126,734422.3359116669,0.0,970000.0,-7537165.216057997,319498.3427961003,13275242.796557704,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
TBeta,250,29,13,69.47494948629192,1.4911552545026812,23497399.490530126,10044845.145968033,2.3392495502991304,14.430256805221143,0.5344539557489312,27,31.994396604730024,0.0,23497399.490530126,734422.3359116669,0.0,970000.0,-7537165.216057997,319498.3427961003,13275242.796557704,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
TMixed,250,29,13,69.47494948629192,1.4911552545026812,23497399.490530126,10044845.145968033,2.3392495502991304,14.430256805221143,0.5344539557489312,27,31.994396604730024,0.0,23497399.490530126,734422.3359116669,0.0,970000.0,-7537165.216057997,319498.3427961003,13275242.796557704,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
T0,500,29,13,69.354948853015,2.7701272999752264,23712555.428925734,18343629.888793126,1.2926861026242524,4.043219193692069,0.1497488590256322,27,31.93913427086337,0.0,23712555.428925734,742429.4981770257,0.0,970000.0,-7268404.813811734,319498.3427961003,13508054.959042754,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
TGamma,500,29,13,69.354948853015,2.7701272999752264,23712555.428925734,18343629.888793126,1.2926861026242524,4.043219193692069,0.1497488590256322,27,31.93913427086337,0.0,23712555.428925734,742429.4981770257,0.0,970000.0,-7268404.813811734,319498.3427961003,13508054.959042754,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
TK,500,29,13,69.354948853015,2.7701272999752264,23712555.428925734,18343629.888793126,1.2926861026242524,4.043219193692069,0.1497488590256322,27,31.93913427086337,0.0,23712555.428925734,742429.4981770257,0.0,970000.0,-7268404.813811734,319498.3427961003,13508054.959042754,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
TBeta,500,29,13,69.354948853015,2.7701272999752264,23712555.428925734,18343629.888793126,1.2926861026242524,4.043219193692069,0.1497488590256322,27,31.93913427086337,0.0,23712555.428925734,742429.4981770257,0.0,970000.0,-7268404.813811734,319498.3427961003,13508054.959042754,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
TMixed,500,29,13,69.354948853015,2.7701272999752264,23712555.428925734,18343629.888793126,1.2926861026242524,4.043219193692069,0.1497488590256322,27,31.93913427086337,0.0,23712555.428925734,742429.4981770257,0.0,970000.0,-7268404.813811734,319498.3427961003,13508054.959042754,319498.3427961003,389692.71020142554,0.8198725160420811,0.01424602610858975,0.021762991665462927
