parameter,value,error,source_id,normalized_name,ra,dec,pgc,host_logmass,z_hd,z_hd_err,z_cmb,z_cmb_err,z_hel,z_hel_err,vpec,vpecerr,m_b_corr,m_b_corr_err,pantheon_id,separation_arcsec,sigma_measured,sigma_inferred,r25_arcsec,r_eff_arcsec,sigma_corrected,sigma_delta,distance_mpc,velocity,h0_derived,rho_local,shear_suppression,pgc_int,tully_nest,tully_nmb,tully_logpK,tully_mvir_tmsun,tully_mlum_tmsun,tully_is_group,tully_is_cluster,effective_coupling,mu_corrected,dist_corrected,h0_corrected
mu_M101,29.15951267789768,0.038751213399772,M101,M 101,210.80242916666668,54.34875,50063,10.677,0.00122,0.00084,0.00122,2e-05,0.00082,2e-05,0.0,250.0,9.80286,1.51723,2011fe,276.6985076274426,28.0,24.259487978011435,865.20947265625,432.604736328125,24.259487978011435,-3.7405120219885646,6.790512227578816,365.74679876,53.86144468963109,0.0088657447446842,0.940353404408524,50063,101379.0,3.0,9.29,,0.967,True,False,1525025.910570123,29.07341534836372,6.526540985872436,56.03991448942211
mu_N0691,32.82220038569176,0.0876811481466406,N0691,NGC 0691,27.673786536389997,21.759970445709996,6793,10.827,0.00855,0.00084,0.00861,2e-05,0.00954,2e-05,15.8947,250.0,13.599,0.316884,2005W,56.21610210131819,108.0,101.84679244339156,104.02104949951172,52.01052474975586,101.84679244339156,-6.153207556608436,36.68090795542066,2563.2255159,69.87900951130109,0.0457196294563172,0.9328493744782478,6793,200365.0,7.0,10.04,4.31,15.8,True,True,1512856.1879703915,32.9014863293717,38.04497174296243,67.37356866020399
mu_N1015,32.617748081806326,0.060076741756443,N1015,NGC 1015,39.54813215151,-1.3187773861799998,9988,9.906,0.00815,0.00084,0.00801,2e-05,0.00877,2e-05,-43.0674,250.0,13.1181,0.370944,2009ig,22.619141847191347,106.5,101.5484288080592,78.90803527832031,39.45401763916016,101.5484288080592,-4.951571191940786,33.38486438240689,2443.308532699999,73.18611526208778,0.0166638016520315,0.939605409786608,9988,211363.0,1.0,9.5,,1.03,False,False,1523812.844105918,32.69657933445332,34.61910746510071,70.57687825034432
mu_N105A,34.493374963451345,0.1193578058476689,N105A,NGC 105,6.31979949466,12.88386496266,1583,10.123,0.01682,0.00085,0.01646,9e-05,0.01765,9e-05,-104.478,250.0,15.2119,0.357309,2007A,10.658738312317682,85.0,83.85761906519484,33.66054916381836,16.83027458190918,83.85761906519484,-1.1423809348051606,79.19084784331494,5042.509143560001,63.675402914450224,0.026509287640439,0.938012333002864,1583,210125.0,1.0,9.6,,2.47,False,False,1521229.2586567162,34.516555702587944,80.04074835907026,62.99927533084566
mu_N1309,32.50896360923535,0.0506780279748097,N1309,NGC 1309,50.52731207393,-15.39994213692,12626,9.89,0.00719,0.00085,0.00668,0.00015,0.00719,0.00015,-152.591,250.0,13.1893,0.299093,2002fk,12.667845748592352,89.0,85.48966270428608,65.63285827636719,32.816429138183594,85.48966270428608,-3.5103372957139243,31.753581879947717,2155.50777302,67.88235044378399,0.0324372858092688,0.9367067298761484,12626,211466.0,1.0,9.37,,0.927,False,False,1519111.885988283,32.53678360501538,32.16301260995225,67.01821745246023
mu_N1365,31.32541543530425,0.0500632419879221,N1365,NGC 1365,53.40190833333333,-36.140658333333334,13179,10.732,0.00483,0.00085,0.0046,0.00015,0.00492,0.00015,-67.5086,250.0,11.9704,0.409689,2012fr,49.12435147913568,151.0,135.86279623041727,336.6054992675781,168.30274963378906,135.86279623041727,-15.137203769582726,18.41124202505071,1447.99757214,78.64746822456762,0.008573807823639,0.94037254907359,13179,200015.0,49.0,10.75,80.5,106.0,True,True,1525056.9585890253,31.542547287041018,20.347425049120634,71.16367641823942
mu_N1448,31.295113402826516,0.0357285514707881,N1448,NGC 1448,56.132979166666665,-44.644827777777785,13727,11.28,0.00333,0.00084,0.00357,1e-05,0.00379,1e-05,71.5597,250.0,12.2481,0.590389,2001el,22.903638799607837,95.0,86.82548236717271,227.57327270507812,113.78663635253906,86.82548236717271,-8.174517632827289,18.156104786146745,998.30888514,54.9847501376902,0.1021773935200234,0.9029414291431732,13727,201169.0,3.0,9.69,,2.0,True,False,1464352.7302766405,31.325680958790524,18.413493454101914,54.216158798351756
mu_N1559,31.46078272204369,0.0516333818314369,N1559,NGC 1559,64.3989619176,-62.78368099094,14814,9.552,0.00407,0.00084,0.00435,1e-05,0.00435,1e-05,86.1777,250.0,12.1249,0.478515,2005df_ANU,53.734349345457694,73.0,68.84088748488503,104.02104949951172,52.01052474975586,68.84088748488503,-4.15911251511497,19.595508797024717,1220.15530406,62.267089704007184,0.0159203752527212,0.9396963613470533,14814,211346.0,1.0,10.29,,1.06,False,False,1523960.3455512635,31.445123626540155,19.45470838260122,62.717738043876935
mu_N2442,31.465229402600443,0.0546366996015777,N2442,NGC 2442,114.09904189399002,-69.53083273787,21373,12.198,0.00488,0.00084,0.00515,2e-05,0.00476,2e-05,80.5777,250.0,12.1943,0.44745,2015F,97.30833663299931,144.0,133.31717130180132,164.86227416992188,82.43113708496094,133.31717130180132,-10.682828698198676,19.635677046361693,1462.98719504,74.50658266510234,1.759078117964844,0.0703161614739615,21373,200281.0,7.0,9.98,2.93,11.2,True,True,114035.81640359283,31.48059595677944,19.775122904100048,73.98119354983496
mu_N2525,32.01138450158723,0.0606591197975918,N2525,NGC 2525,121.40849930031004,-11.427045532359998,22721,10.06,0.00602,0.00085,0.00596,0.00015,0.0051,0.00015,-18.777,250.0,12.6874,0.343274,2018gv,64.37758304478365,82.0,77.89999876987692,86.52095031738281,43.260475158691406,77.89999876987692,-4.100001230123084,25.250902228905627,1804.75059716,71.47271732310762,0.0416478017173739,0.9341676545305294,22721,102238.0,2.0,9.39,,2.15,True,False,1514994.1195477028,32.01822570039338,25.330580352033262,71.24789768249958
mu_N2608,32.62780095307221,0.1148434167441644,N2608,NGC 2608,128.82220753716,28.473398979510005,24111,10.449,0.00855,0.00084,0.00796,1e-05,0.00719,1e-05,-174.166,250.0,13.4398,0.358202,2001bg,28.266810170067377,87.0,83.41474960345026,68.72603607177734,34.36301803588867,83.41474960345026,-3.585250396549739,33.539778535403684,2563.2255159,76.42344785295253,0.0868444697616116,0.91310271329645,24111,111917.0,1.0,9.47,,1.08,False,False,1480831.8768887161,32.64914553583509,33.87108487894383,75.67592018564025
