galaxy,mu_trgb,mu_trgb_err,sne,reference,source,match_name,sigma_measured,sigma_corrected,z_cmb,distance_mpc,h0_trgb,h0_trgb_err
NGC 1309,32.52,0.05,2002fk,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC1309,82.0,78.76575664889279,0.00668,31.915378551007663,62.747606651113074,1.44481703695907
NGC 1365,31.36,0.04,2012fr,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC1365,151.39999389648438,136.222692185725,0.0046,18.706821403657997,73.71884710089425,1.3579513472578115
NGC 1448,31.32,0.04,2001el,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC1448,108.88235294117646,99.51329279358308,0.00357,18.365383433483466,58.275890559884594,1.0734815750731417
NGC 1559,31.44,0.04,2005df,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC1559,72.62999725341797,68.49196532808296,0.00435,19.408858775927794,67.19082287916027,1.2377006971804616
NGC 2442,31.45,0.05,2015F,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC2442,133.35294117647058,123.45997848904558,0.00515,19.498445997580443,79.1822670838274,1.823239078166941
NGC 3021,32.42,0.05,1995al,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC3021,57.29999923706055,55.75428035953865,0.00592,30.47894989627986,58.22941267332249,1.3407817759539096
NGC 3370,32.09,0.04,1994ae,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC3370,48.0,45.432311825107355,0.0054,26.18183008218989,61.832166358043764,1.138990596188476
NGC 3972,31.6,0.05,2011by,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC3972,28.24645,26.514746024976656,0.00369,20.892961308540407,52.94769629271295,1.2191657619197693
NGC 4038,31.61,0.05,2007sr,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC4038,99.47058823529412,92.26102669556826,0.0066,20.989398836235235,94.26807495716238,2.170602641416074
NGC 4424,31.04,0.05,2012cg,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC4424,56.6,53.277033268521315,0.00256,16.143585568264854,47.540163195758325,1.094652710930573
NGC 4536,30.96,0.04,1981B,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC4536,180.8000030517578,165.24260502058073,0.0035,15.55965631605075,67.43552567530743,1.2422082892654411
NGC 4639,31.8,0.05,1990N,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC4639,87.0,87.18521673375926,0.00462,22.908676527677734,60.45923928807608,1.3921254311848392
NGC 5584,31.82,0.04,2007af,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC5584,54.18593,51.14581831770774,0.00635,23.12064790175595,82.3368841733635,1.5167014568093133
NGC 5643,30.48,0.05,2017cbv,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC5643,68.0,63.42091640580657,0.00478,12.473835142429433,114.88110375658725,2.645235169766201
NGC 5861,32.26,0.06,2017erp,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC5861,93.23529411764706,88.41051974916573,0.00727,28.313919957993757,76.97595998340996,2.1269243757204714
NGC 5917,32.3,0.06,2005cf,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC5917,54.47058823529411,53.09891753205199,0.00703,28.840315031266027,73.07621215146912,2.0191703610293175
NGC 7250,31.51,0.06,2013dy,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC7250,41.8235294117647,40.5456510711402,0.00293,20.044720273651624,43.821609378836186,1.2108358140805953
NGC 1015,32.63,0.06,2009ig,HST/ACS F814W,Freedman+2024 (arXiv:2408.06153),NGC1015,106.5,101.5484288080592,0.00801,33.573761424295505,71.52423460191393,1.9762876365861113
